avgSessionDuration,shortSessionRatio,reopenCount,interSessionGap,dailyTotalTime,sessionsPerDay,nightCount,trend,label,source,weight,intensityScore,frustrationScore
17.54,0.5,1.0,197.8,12.04,2.0,5.0,29.88,Normal,synthetic,1.0,23.387999999999998,0.41148102558165695
49.26,0.185,0.0,285.07,99.42,5.0,4.0,-10.82,Normal,synthetic,1.0,40.342,0.12775408017055978
21.58,0.5,8.0,128.82,140.72,15.0,4.0,-19.91,Normal,synthetic,1.0,34.803,0.3925562873148815
95.92,0.097,0.0,2.31,180.53,1.0,2.0,69.49,Addicted,synthetic,1.0,97.321,1.5692040825451432
102.17,0.075,1.0,35.63,500.0,18.0,0.0,37.53,Addicted,synthetic,1.0,152.127,0.13824284957195948
42.49,0.5,2.0,164.58,50.56,4.0,3.0,-16.84,Normal,synthetic,1.0,25.056000000000004,0.3257492116077579
95.9,0.001,1.0,52.55,261.45,2.0,4.0,69.5,Addicted,synthetic,1.0,115.5,0.13690844530916937
69.77,0.168,1.0,51.86,500.0,11.0,2.0,69.54,Addicted,synthetic,1.0,150.77,0.12807223939718898
39.98,0.615,13.0,4.54,250.0,18.0,5.0,29.07,Frustrated,synthetic,1.0,79.713,1.2546420383854187
100.55,0.114,2.0,25.44,500.0,13.0,0.0,132.28,Addicted,synthetic,1.0,179.904,0.17365801057189997
125.0,0.278,0.0,59.46,321.18,2.0,3.0,125.7,Addicted,synthetic,1.0,154.94600000000003,0.11549294454421809
21.01,0.5,7.0,93.93,91.74,15.0,1.0,25.33,Normal,synthetic,1.0,35.351,0.40603789565920645
88.43,0.043,0.0,55.99,500.0,12.0,1.0,95.54,Addicted,synthetic,1.0,165.034,0.08876110257459771
82.04,0.085,2.0,47.25,500.0,16.0,4.0,119.82,Addicted,synthetic,1.0,172.762,0.1131766355339621
16.31,0.56,7.0,49.88,85.28,12.0,2.0,-4.27,Frustrated,synthetic,1.0,24.299,0.5883502591330927
33.62,0.891,16.0,62.96,236.1,16.0,2.0,-0.49,Frustrated,synthetic,1.0,62.521,0.4749990226759431
57.71,0.248,0.0,30.68,171.35,1.0,5.0,87.36,Addicted,synthetic,1.0,88.56200000000001,0.249566752282839
50.18,0.048,0.0,6.62,255.24,5.0,4.0,85.57,Addicted,synthetic,1.0,100.791,0.7008737879232445
83.84,0.143,2.0,20.48,500.0,18.0,3.0,59.69,Addicted,synthetic,1.0,154.44299999999998,0.22944217436121533
20.74,0.377,5.0,53.68,43.75,6.0,4.0,16.54,Frustrated,synthetic,1.0,26.008,0.5092391014851225
98.75,0.041,1.0,46.05,500.0,6.0,1.0,79.03,Addicted,synthetic,1.0,164.209,0.11186656412919285
110.15,0.188,1.0,27.6,295.86,2.0,5.0,93.02,Addicted,synthetic,1.0,136.138,0.2194074739031724
15.87,0.407,1.0,199.6,10.0,2.0,5.0,36.03,Normal,synthetic,1.0,24.157,0.39955411806817526
35.87,0.455,7.0,38.22,140.09,10.0,4.0,32.06,Frustrated,synthetic,1.0,55.984,0.4166991275007873
48.7,0.271,0.0,235.16,22.26,2.0,2.0,35.31,Normal,synthetic,1.0,36.525000000000006,0.15944117987624262
110.38,0.109,1.0,15.88,500.0,15.0,1.0,59.0,Addicted,synthetic,1.0,162.852,0.2583127204407029
10.38,0.484,8.0,70.77,44.5,10.0,1.0,43.03,Frustrated,synthetic,1.0,26.961,0.6345904473584648
36.63,0.846,9.0,16.15,48.4,6.0,3.0,2.73,Frustrated,synthetic,1.0,28.151,0.9696618852043558
12.43,0.5,10.0,290.04,65.01,18.0,3.0,-17.22,Normal,synthetic,1.0,15.808000000000003,0.5288610038615509
36.21,0.39,1.0,3.23,33.93,2.0,1.0,23.27,Frustrated,synthetic,1.0,29.251000000000005,2.069408240503274
41.32,1.0,7.0,29.95,35.74,3.0,0.0,17.67,Frustrated,synthetic,1.0,28.977,0.8665263849150407
40.51,0.369,5.0,14.84,107.42,11.0,2.0,30.14,Frustrated,synthetic,1.0,48.730000000000004,0.6321245121888206
23.54,0.336,6.0,13.61,206.52,17.0,2.0,22.38,Frustrated,synthetic,1.0,59.434,0.6471195281143088
17.44,0.5,9.0,175.1,101.11,19.0,3.0,43.25,Normal,synthetic,1.0,43.173,0.37626204437210464
16.46,0.496,5.0,176.56,74.34,12.0,2.0,41.5,Normal,synthetic,1.0,35.902,0.3943555960491101
27.7,0.614,15.0,16.77,250.0,18.0,1.0,42.38,Frustrated,synthetic,1.0,74.794,0.614960330792188
48.35,1.0,4.0,45.3,16.44,1.0,0.0,28.14,Frustrated,synthetic,1.0,31.070000000000004,0.7988375825568507
44.55,0.136,2.0,270.78,150.0,15.0,4.0,29.55,Normal,synthetic,1.0,60.685,0.12273084194482159
28.56,0.357,4.0,51.05,136.05,8.0,5.0,-1.41,Frustrated,synthetic,1.0,43.211000000000006,0.3779596852728441
105.45,0.111,2.0,16.54,500.0,9.0,5.0,113.65,Addicted,synthetic,1.0,181.275,0.24408559399453017
19.23,0.311,4.0,198.02,44.49,11.0,3.0,-17.1,Normal,synthetic,1.0,14.46,0.36998866185682794
56.55,0.489,6.0,70.05,150.0,12.0,0.0,22.53,Normal,synthetic,1.0,59.379000000000005,0.2972213555832615
20.72,0.492,1.0,115.34,15.73,2.0,2.0,-17.86,Normal,synthetic,1.0,8.076,0.4709497843026546
13.7,0.372,7.0,60.94,89.93,18.0,5.0,30.16,Frustrated,synthetic,1.0,37.514,0.4635452501214258
108.31,0.006,0.0,21.15,196.7,1.0,4.0,65.26,Addicted,synthetic,1.0,106.242,0.23766276703863312
58.61,0.5,9.0,219.22,150.0,18.0,2.0,8.55,Normal,synthetic,1.0,58.009,0.2419158487923303
48.09,0.076,1.0,266.28,150.0,19.0,0.0,27.85,Normal,synthetic,1.0,57.59100000000001,0.09867120479312469
47.28,0.76,7.0,61.41,250.0,9.0,5.0,34.85,Frustrated,synthetic,1.0,84.367,0.35205908523730767
53.08,0.068,0.0,6.6,326.78,5.0,5.0,72.84,Addicted,synthetic,1.0,113.44,0.6622722876338223
62.76,0.3,2.0,23.74,392.64,7.0,2.0,83.45,Addicted,synthetic,1.0,130.667,0.26962633401776864
37.21,0.931,10.0,57.36,173.57,9.0,4.0,17.42,Frustrated,synthetic,1.0,58.824,0.5048889824080607
49.8,0.737,14.0,39.66,212.63,18.0,1.0,-11.37,Frustrated,synthetic,1.0,60.035000000000004,0.4561505522110349
42.19,0.311,5.0,210.77,143.37,13.0,1.0,17.45,Normal,synthetic,1.0,51.785000000000004,0.21089939331979554
35.9,0.421,4.0,76.57,139.69,9.0,4.0,2.62,Normal,synthetic,1.0,47.084,0.31591940794491935
58.7,0.173,2.0,26.53,500.0,10.0,4.0,75.77,Addicted,synthetic,1.0,150.211,0.21068434765567498
48.82,0.473,5.0,24.46,208.54,8.0,0.0,31.36,Frustrated,synthetic,1.0,70.644,0.43934924689777766
56.03,0.367,3.0,81.68,149.27,10.0,3.0,3.47,Normal,synthetic,1.0,56.307,0.239325309989517
11.35,0.834,7.0,52.11,45.37,7.0,0.0,20.26,Frustrated,synthetic,1.0,19.692,0.8179954362811576
68.39,0.013,1.0,46.44,485.37,6.0,0.0,110.87,Addicted,synthetic,1.0,157.69100000000003,0.11702356795719418
56.94,0.294,5.0,280.66,150.0,17.0,3.0,-6.8,Normal,synthetic,1.0,53.736000000000004,0.1710700741674918
15.11,0.516,4.0,26.52,10.0,1.0,4.0,47.11,Frustrated,synthetic,1.0,26.177,0.9449147457511345
33.97,0.5,2.0,220.27,40.57,3.0,3.0,-4.03,Normal,synthetic,1.0,23.493000000000002,0.3519044903899805
78.92,0.208,3.0,2.87,500.0,13.0,1.0,98.31,Addicted,synthetic,1.0,162.061,1.0492543801147698
38.3,0.508,11.0,17.67,244.16,16.0,1.0,12.25,Frustrated,synthetic,1.0,68.827,0.5595145176529811
14.51,0.727,6.0,47.28,62.58,8.0,3.0,-31.97,Frustrated,synthetic,1.0,11.729000000000001,0.7632813030944883
52.34,0.36,6.0,173.75,150.0,15.0,2.0,15.77,Normal,synthetic,1.0,57.667,0.21134113844530455
47.7,0.105,0.0,35.23,497.87,9.0,4.0,51.7,Addicted,synthetic,1.0,138.16400000000002,0.16581006212538665
29.98,0.057,1.0,233.97,45.15,6.0,1.0,24.89,Normal,synthetic,1.0,29.488999999999997,0.17004966560980064
19.58,0.692,10.0,1.94,51.48,12.0,1.0,32.79,Frustrated,synthetic,1.0,28.965,3.095235263624567
18.14,0.661,11.0,47.31,85.5,12.0,2.0,-0.78,Frustrated,synthetic,1.0,26.122,0.6474395158446257
52.09,0.388,5.0,114.97,150.0,11.0,2.0,50.11,Normal,synthetic,1.0,67.869,0.22678772520580825
22.03,0.823,11.0,39.79,100.88,10.0,0.0,43.2,Frustrated,synthetic,1.0,41.94800000000001,0.6388921456215343
18.15,0.498,2.0,76.58,15.66,2.0,0.0,43.81,Frustrated,synthetic,1.0,23.535,0.5224509804942636
43.37,0.659,8.0,68.26,250.0,10.0,2.0,12.08,Frustrated,synthetic,1.0,72.972,0.353027675527861
20.12,0.269,1.0,85.33,27.76,6.0,2.0,-19.38,Normal,synthetic,1.0,9.786000000000001,0.38980376020021396
23.87,1.0,7.0,54.31,30.48,3.0,4.0,41.04,Frustrated,synthetic,1.0,31.956,0.7893809157439168
24.01,0.486,6.0,209.33,119.6,11.0,1.0,-15.5,Normal,synthetic,1.0,29.874000000000002,0.36772591949292227
16.5,0.5,9.0,64.82,136.05,19.0,0.0,15.6,Normal,synthetic,1.0,38.49000000000001,0.46609930917845566
86.76,0.073,1.0,55.14,500.0,14.0,3.0,111.28,Addicted,synthetic,1.0,171.088,0.09686459674883646
38.58,0.43,5.0,49.76,168.19,10.0,2.0,11.91,Frustrated,synthetic,1.0,54.643,0.34885235610693516
59.97,0.5,9.0,227.35,150.0,18.0,4.0,-0.76,Normal,synthetic,1.0,57.76,0.2403241010213084
24.03,0.831,8.0,20.34,55.62,5.0,4.0,-14.88,Frustrated,synthetic,1.0,20.272000000000002,0.9860386941080088
62.25,0.138,1.0,24.42,268.46,4.0,0.0,86.29,Addicted,synthetic,1.0,104.47900000000001,0.26649784936539594
37.77,0.5,4.0,218.43,73.62,8.0,5.0,-12.89,Normal,synthetic,1.0,30.965000000000003,0.3150720153925769
100.84,0.004,0.0,20.25,500.0,12.0,3.0,60.45,Addicted,synthetic,1.0,161.471,0.19553431662250664
55.57,0.175,2.0,25.94,500.0,15.0,1.0,107.58,Addicted,synthetic,1.0,155.502,0.2067123173145675
17.13,0.712,13.0,20.78,155.7,18.0,1.0,40.53,Frustrated,synthetic,1.0,51.151,0.7051277994149611
102.81,0.077,2.0,22.9,500.0,18.0,5.0,37.4,Addicted,synthetic,1.0,157.344,0.19621386422831189
22.74,0.741,9.0,6.33,41.11,8.0,1.0,20.28,Frustrated,synthetic,1.0,24.402,1.6013395900776846
52.6,0.163,3.0,244.21,150.0,19.0,4.0,11.9,Normal,synthetic,1.0,58.61,0.12764531665174778
26.46,0.387,7.0,27.34,177.59,17.0,1.0,32.61,Frustrated,synthetic,1.0,56.885000000000005,0.45367775930800264
56.89,0.03,1.0,27.39,308.78,6.0,2.0,112.43,Addicted,synthetic,1.0,120.241,0.20904586070799996
73.33,0.019,0.0,57.55,256.19,3.0,0.0,63.52,Addicted,synthetic,1.0,99.626,0.11584576426786362
113.51,0.045,0.0,45.14,500.0,7.0,3.0,71.76,Addicted,synthetic,1.0,169.93200000000002,0.09906685135801306
48.69,0.264,4.0,233.38,150.0,16.0,0.0,2.98,Normal,synthetic,1.0,50.37,0.17465164220154422
30.41,0.855,4.0,66.07,13.86,1.0,0.0,-2.34,Frustrated,synthetic,1.0,14.234000000000002,0.8541204332412661
77.58,0.157,3.0,43.13,500.0,15.0,3.0,105.27,Addicted,synthetic,1.0,165.613,0.13928412975327603
101.46,0.095,1.0,24.03,500.0,11.0,0.0,93.77,Addicted,synthetic,1.0,168.715,0.18178250830653034
97.5,0.134,1.0,19.06,184.32,1.0,3.0,45.83,Addicted,synthetic,1.0,92.613,0.3561616420471186
79.13,0.118,0.0,26.88,464.34,7.0,0.0,53.89,Addicted,synthetic,1.0,140.687,0.18692282474992686
55.85,0.5,3.0,265.93,113.62,5.0,3.0,28.55,Normal,synthetic,1.0,56.629000000000005,0.24441425492556762
43.41,0.208,3.0,124.02,150.0,15.0,4.0,26.84,Normal,synthetic,1.0,59.416,0.1758650362233706
78.33,0.3,1.0,52.76,276.55,3.0,0.0,77.25,Addicted,synthetic,1.0,109.81700000000001,0.1865598075525836
95.44,0.187,4.0,18.66,500.0,17.0,2.0,96.07,Addicted,synthetic,1.0,168.997,0.24536259109488476
66.69,0.099,1.0,18.13,356.33,5.0,1.0,37.43,Addicted,synthetic,1.0,110.171,0.30918414534750355
95.2,0.144,2.0,29.02,500.0,12.0,0.0,121.02,Addicted,synthetic,1.0,174.386,0.1661384077576232
76.16,0.158,1.0,47.09,500.0,10.0,1.0,77.08,Addicted,synthetic,1.0,154.588,0.13090388759267088
40.37,0.5,4.0,91.66,80.5,8.0,1.0,-8.08,Normal,synthetic,1.0,30.824,0.3581137586735154
24.84,0.403,8.0,54.63,141.3,15.0,3.0,24.62,Frustrated,synthetic,1.0,48.58200000000001,0.3874008186626832
31.38,0.489,7.0,284.98,150.0,14.0,1.0,-20.51,Normal,synthetic,1.0,37.399,0.30785075485721763
88.26,0.281,2.0,39.86,361.62,5.0,1.0,89.86,Addicted,synthetic,1.0,135.586,0.19295191691539976
47.58,0.079,2.0,41.81,500.0,18.0,4.0,94.51,Addicted,synthetic,1.0,151.385,0.14504895880496435
26.37,0.091,1.0,272.86,10.0,1.0,2.0,2.77,Normal,synthetic,1.0,15.379000000000001,0.2725889653713117
42.64,0.272,4.0,194.36,150.0,14.0,3.0,-12.73,Normal,synthetic,1.0,46.237,0.19925183977733635
23.54,0.827,13.0,2.45,73.37,14.0,3.0,34.08,Frustrated,synthetic,1.0,37.314,2.5666233908961136
24.34,0.689,9.0,48.86,85.56,8.0,4.0,59.02,Frustrated,synthetic,1.0,48.554,0.5382317331946344
58.44,0.5,8.0,154.89,150.0,15.0,5.0,26.26,Normal,synthetic,1.0,66.254,0.24447083831523497
55.27,0.116,2.0,54.95,500.0,10.0,5.0,123.56,Addicted,synthetic,1.0,164.176,0.12369802038829782
15.93,0.336,3.0,264.92,33.14,10.0,2.0,-13.23,Normal,synthetic,1.0,11.031,0.4017055876829669
36.65,0.35,4.0,78.54,154.5,8.0,5.0,34.59,Frustrated,synthetic,1.0,60.937,0.2754826394612115
85.0,0.282,5.0,55.58,500.0,16.0,2.0,129.44,Addicted,synthetic,1.0,174.832,0.13854866069544394
10.57,0.426,5.0,58.93,15.62,3.0,1.0,43.35,Frustrated,synthetic,1.0,21.357,0.751240581313178
38.36,0.47,2.0,68.32,11.52,1.0,0.0,3.74,Frustrated,synthetic,1.0,18.77,0.5139214679736689
48.49,0.161,3.0,91.36,150.0,18.0,3.0,-21.18,Normal,synthetic,1.0,46.042,0.18968881250031527
49.53,0.3,3.0,39.86,427.16,11.0,1.0,82.0,Addicted,synthetic,1.0,130.84400000000002,0.20745569506627562
71.88,0.031,0.0,47.11,433.21,6.0,0.0,135.42,Addicted,synthetic,1.0,156.01999999999998,0.10686342333785391
24.27,0.5,1.0,284.6,19.59,3.0,0.0,41.31,Normal,synthetic,1.0,26.019,0.3319376194080616
48.6,0.344,5.0,85.36,150.0,15.0,3.0,6.5,Normal,synthetic,1.0,54.39,0.24570212483067544
38.98,0.5,4.0,135.95,112.61,7.0,1.0,-11.28,Normal,synthetic,1.0,35.730000000000004,0.3301181574746115
34.82,0.926,13.0,78.34,212.89,11.0,5.0,41.31,Frustrated,synthetic,1.0,73.899,0.4476598218826022
44.12,0.627,12.0,55.75,250.0,15.0,0.0,26.45,Frustrated,synthetic,1.0,75.583,0.3612615891139785
10.78,0.367,4.0,54.01,39.59,7.0,5.0,14.46,Frustrated,synthetic,1.0,21.568,0.6167689719583753
37.3,0.636,7.0,48.96,123.78,7.0,0.0,47.97,Frustrated,synthetic,1.0,54.067,0.4557749358396881
25.39,0.233,3.0,80.05,86.63,10.0,1.0,-5.79,Normal,synthetic,1.0,26.745,0.3243115303580674
11.39,0.768,14.0,50.34,57.32,14.0,2.0,17.35,Frustrated,synthetic,1.0,23.225,0.7896835594954124
35.8,0.947,11.0,37.02,129.61,8.0,1.0,20.35,Frustrated,synthetic,1.0,47.34700000000001,0.643114254147456
107.49,0.262,3.0,34.12,500.0,13.0,4.0,87.43,Addicted,synthetic,1.0,173.22500000000002,0.16695578422207508
59.12,0.131,2.0,20.28,500.0,16.0,3.0,59.85,Addicted,synthetic,1.0,144.603,0.2476820902697482
98.63,0.063,1.0,56.56,500.0,17.0,1.0,79.4,Addicted,synthetic,1.0,164.272,0.09347998233265284
33.29,0.215,2.0,143.56,150.0,12.0,3.0,25.84,Normal,synthetic,1.0,54.068,0.18942723006264248
90.58,0.3,6.0,8.05,500.0,19.0,3.0,67.51,Addicted,synthetic,1.0,159.485,0.506252783231436
22.55,0.805,11.0,39.91,146.81,13.0,1.0,0.88,Frustrated,synthetic,1.0,39.646,0.6109614666024874
46.31,0.717,11.0,29.89,235.51,13.0,0.0,18.59,Frustrated,synthetic,1.0,71.203,0.4768438290197048
119.82,0.055,1.0,19.45,500.0,10.0,2.0,68.18,Addicted,synthetic,1.0,170.382,0.20694294541327052
49.67,0.34,3.0,254.39,91.94,6.0,4.0,36.0,Normal,synthetic,1.0,53.056,0.21091120995133228
42.67,0.226,2.0,226.98,144.99,7.0,2.0,22.49,Normal,synthetic,1.0,54.813,0.17088975613632307
12.28,0.209,2.0,84.2,23.26,9.0,3.0,24.01,Normal,synthetic,1.0,19.767,0.4439667949400818
41.2,0.715,13.0,54.8,250.0,13.0,5.0,35.47,Frustrated,synthetic,1.0,82.12100000000001,0.389830104768893
49.05,0.111,0.0,3.43,322.39,5.0,0.0,63.74,Addicted,synthetic,1.0,103.22,1.1692286305654975
46.65,0.304,5.0,39.18,162.51,12.0,0.0,31.68,Frustrated,synthetic,1.0,60.666000000000004,0.3212556186192659
78.2,0.3,2.0,38.05,500.0,9.0,0.0,107.3,Addicted,synthetic,1.0,163.47,0.1713997786191376
58.89,0.246,3.0,241.34,150.0,10.0,5.0,22.53,Normal,synthetic,1.0,65.315,0.15043940796533972
46.77,0.779,3.0,78.85,49.11,2.0,3.0,32.56,Frustrated,synthetic,1.0,41.298,0.4823984605011267
38.95,0.72,12.0,78.54,250.0,16.0,1.0,8.22,Frustrated,synthetic,1.0,69.046,0.3661870341489272
41.98,0.356,3.0,196.74,103.64,11.0,2.0,10.31,Normal,synthetic,1.0,42.613,0.22314795989660652
80.04,0.096,1.0,53.34,500.0,8.0,2.0,48.25,Addicted,synthetic,1.0,148.491,0.11638532727459719
52.67,0.694,6.0,10.14,64.5,3.0,3.0,30.29,Frustrated,synthetic,1.0,46.055,1.0373459317036773
24.37,0.562,14.0,45.14,250.0,19.0,1.0,12.46,Frustrated,synthetic,1.0,64.486,0.43231534686867307
