avgSessionDuration,shortSessionRatio,reopenCount,interSessionGap,dailyTotalTime,sessionsPerDay,nightCount,trend,label,source,weight
58.53,0.835,3,96.77,155.56,4,0,28.81,Normal,synthetic,1.0
40.42,0.412,8,30.08,40.78,14,3,47.39,Frustrated,synthetic,1.0
57.26,0.472,5,108.07,91.23,6,2,-6.36,Frustrated,synthetic,1.0
10.0,0.582,1,84.43,90.77,2,2,8.59,Normal,synthetic,1.0
71.27,0.193,2,140.74,274.17,6,3,55.03,Addicted,synthetic,1.0
78.29,0.22,2,173.1,79.7,2,1,-35.0,Normal,synthetic,1.0
23.23,0.57,5,146.81,76.32,7,1,19.89,Normal,synthetic,1.0
38.05,0.247,3,177.76,134.18,7,4,37.63,Normal,synthetic,1.0
51.43,0.282,3,228.22,126.92,13,0,-35.0,Normal,synthetic,1.0
50.77,0.579,9,69.99,30.0,12,4,-2.8,Frustrated,synthetic,1.0
10.0,0.674,8,145.16,138.64,11,2,31.02,Frustrated,synthetic,1.0
46.19,0.319,5,171.58,162.56,7,0,11.76,Frustrated,synthetic,1.0
40.28,0.136,2,46.08,102.08,10,0,-24.16,Normal,synthetic,1.0
27.63,0.515,10,113.46,175.38,12,0,35.45,Frustrated,synthetic,1.0
40.11,0.05,0,10.0,106.98,3,4,43.48,Normal,synthetic,1.0
10.0,0.586,5,38.78,121.84,4,3,28.7,Frustrated,synthetic,1.0
60.24,0.244,4,120.26,175.47,11,4,80.0,Normal,synthetic,1.0
55.44,0.211,1,92.95,210.76,9,3,-3.48,Addicted,synthetic,1.0
60.19,0.664,3,68.06,165.69,2,3,-40.0,Frustrated,synthetic,1.0
81.55,0.051,0,37.85,140.28,11,0,-3.73,Addicted,synthetic,1.0
52.13,0.496,1,220.6,230.1,1,0,14.71,Normal,synthetic,1.0
29.82,0.648,7,101.89,95.3,9,0,33.21,Frustrated,synthetic,1.0
10.0,0.49,5,40.08,328.98,9,3,62.24,Frustrated,synthetic,1.0
56.39,0.688,8,106.45,216.06,9,2,-35.0,Normal,synthetic,1.0
24.33,0.635,5,115.0,247.86,6,1,29.53,Normal,synthetic,1.0
10.0,0.28,1,57.41,124.9,1,2,11.61,Normal,synthetic,1.0
97.15,0.49,3,123.48,267.54,4,0,32.28,Addicted,synthetic,1.0
52.65,0.197,2,125.98,103.39,4,3,37.49,Addicted,synthetic,1.0
41.51,0.23,4,10.0,69.16,14,2,23.16,Normal,synthetic,1.0
56.71,0.188,4,110.6,225.22,13,0,11.19,Addicted,synthetic,1.0
54.61,0.671,5,56.74,257.96,5,4,101.93,Addicted,synthetic,1.0
50.11,0.787,7,190.66,154.94,4,2,24.91,Frustrated,synthetic,1.0
71.2,0.168,2,5.0,244.32,11,3,52.99,Addicted,synthetic,1.0
53.57,0.138,2,42.37,156.02,8,0,49.71,Addicted,synthetic,1.0
63.76,0.536,3,171.08,137.39,7,0,11.72,Normal,synthetic,1.0
64.23,0.077,0,5.0,319.49,1,4,-18.24,Addicted,synthetic,1.0
115.38,0.332,2,122.84,359.95,8,2,-10.36,Addicted,synthetic,1.0
10.0,0.609,4,104.93,119.68,3,0,29.81,Frustrated,synthetic,1.0
30.19,0.372,6,87.59,129.07,6,2,10.4,Frustrated,synthetic,1.0
68.01,0.091,2,127.95,328.58,13,4,63.27,Addicted,synthetic,1.0
63.67,0.229,3,61.23,276.04,5,1,54.64,Addicted,synthetic,1.0
52.26,0.553,6,25.29,230.28,11,4,-0.94,Addicted,synthetic,1.0
22.77,0.537,5,98.24,30.0,4,4,15.36,Frustrated,synthetic,1.0
76.0,0.105,0,114.97,147.56,7,0,16.74,Addicted,synthetic,1.0
34.25,0.617,4,26.12,349.56,8,4,13.78,Addicted,synthetic,1.0
33.05,0.466,3,150.86,58.26,4,1,0.65,Normal,synthetic,1.0
15.57,0.607,8,108.83,30.0,10,1,26.02,Frustrated,synthetic,1.0
20.76,0.179,2,84.37,155.35,4,3,-32.1,Normal,synthetic,1.0
47.08,0.024,2,138.33,265.2,9,4,4.19,Addicted,synthetic,1.0
23.77,0.326,4,135.4,141.57,10,3,-34.33,Frustrated,synthetic,1.0
42.95,0.879,9,41.87,112.35,6,3,18.09,Frustrated,synthetic,1.0
36.43,0.492,3,180.62,166.21,6,1,0.66,Normal,synthetic,1.0
22.0,0.459,6,42.14,84.05,10,3,29.99,Frustrated,synthetic,1.0
44.66,0.31,4,38.09,300.86,12,1,-2.96,Frustrated,synthetic,1.0
17.02,0.578,4,215.86,190.0,1,2,-20.38,Frustrated,synthetic,1.0
62.37,0.662,3,50.21,36.06,4,0,-1.48,Frustrated,synthetic,1.0
39.08,0.361,3,133.98,152.39,3,3,15.13,Normal,synthetic,1.0
63.75,0.266,1,181.51,189.12,5,2,-35.0,Normal,synthetic,1.0
37.34,0.498,5,5.0,81.82,8,0,11.69,Frustrated,synthetic,1.0
35.05,0.747,7,19.45,113.18,8,3,8.86,Frustrated,synthetic,1.0
28.67,0.736,8,106.51,66.79,11,1,26.48,Normal,synthetic,1.0
34.85,0.856,1,68.97,136.98,1,2,-12.44,Frustrated,synthetic,1.0
29.74,0.215,3,5.0,298.39,9,4,76.07,Addicted,synthetic,1.0
35.66,0.494,0,263.98,128.77,1,4,5.82,Normal,synthetic,1.0
13.26,0.29,2,223.75,73.98,10,4,15.33,Normal,synthetic,1.0
35.23,0.227,2,109.69,107.07,4,3,26.9,Normal,synthetic,1.0
14.52,0.578,5,226.77,104.83,4,4,20.83,Frustrated,synthetic,1.0
65.16,0.349,6,10.42,218.67,12,0,73.67,Addicted,synthetic,1.0
10.0,0.85,4,163.72,79.7,4,4,10.37,Normal,synthetic,1.0
31.77,0.526,6,196.88,187.11,12,3,10.87,Normal,synthetic,1.0
20.08,0.47,6,185.84,199.95,5,3,0.45,Frustrated,synthetic,1.0
15.0,0.042,1,23.91,181.99,11,4,51.1,Addicted,synthetic,1.0
36.17,0.137,1,57.74,252.31,1,1,73.08,Addicted,synthetic,1.0
10.0,0.782,2,90.77,75.35,2,2,37.0,Frustrated,synthetic,1.0
18.62,0.496,4,11.16,55.94,1,4,-5.13,Frustrated,synthetic,1.0
61.56,0.504,5,198.58,158.72,7,1,17.79,Normal,synthetic,1.0
51.36,0.482,7,96.21,49.17,11,1,27.34,Normal,synthetic,1.0
76.31,0.275,4,126.23,231.7,13,2,-20.0,Addicted,synthetic,1.0
10.0,0.374,7,102.47,232.75,10,4,28.22,Frustrated,synthetic,1.0
50.52,0.677,8,119.19,150.57,12,0,13.81,Normal,synthetic,1.0
10.0,0.789,8,5.0,192.78,8,2,4.2,Frustrated,synthetic,1.0
54.87,0.091,1,126.35,342.1,12,3,70.03,Addicted,synthetic,1.0
10.0,0.109,1,233.56,61.91,13,1,15.0,Normal,synthetic,1.0
26.32,0.897,12,89.42,176.88,13,1,64.93,Frustrated,synthetic,1.0
43.98,0.146,2,68.79,64.44,13,0,33.77,Normal,synthetic,1.0
40.05,0.086,0,65.56,214.84,2,1,2.63,Addicted,synthetic,1.0
19.96,0.861,9,109.04,184.89,9,2,-21.3,Frustrated,synthetic,1.0
17.46,0.572,7,63.72,99.83,6,3,29.31,Frustrated,synthetic,1.0
48.88,0.337,2,118.34,121.5,6,4,-16.48,Normal,synthetic,1.0
68.17,0.204,3,92.69,254.52,12,4,97.02,Addicted,synthetic,1.0
23.48,0.254,2,243.73,44.24,1,2,44.0,Normal,synthetic,1.0
55.29,0.643,9,35.45,88.61,10,2,22.9,Frustrated,synthetic,1.0
90.0,0.163,4,99.84,123.79,3,4,2.02,Frustrated,synthetic,1.0
85.13,0.67,9,127.59,118.85,13,3,1.25,Normal,synthetic,1.0
60.49,0.455,6,141.64,178.3,8,3,32.71,Frustrated,synthetic,1.0
17.16,0.796,13,205.14,194.46,14,0,55.54,Frustrated,synthetic,1.0
19.64,0.708,4,109.56,197.74,3,3,5.06,Frustrated,synthetic,1.0
43.67,0.232,2,167.48,30.0,3,2,26.68,Normal,synthetic,1.0
48.94,0.694,13,81.07,196.58,13,0,22.73,Frustrated,synthetic,1.0
10.0,0.346,4,300.0,139.48,6,1,24.41,Normal,synthetic,1.0
10.0,0.377,1,60.75,137.85,4,3,48.06,Normal,synthetic,1.0
15.0,0.314,4,5.42,246.47,10,2,60.7,Addicted,synthetic,1.0
23.22,0.732,10,88.24,264.42,13,2,-40.0,Frustrated,synthetic,1.0
55.55,0.62,4,73.71,30.0,5,4,26.48,Normal,synthetic,1.0
10.0,0.723,8,210.27,100.36,7,3,-10.41,Frustrated,synthetic,1.0
15.0,0.217,3,68.57,252.1,6,2,55.35,Addicted,synthetic,1.0
37.76,0.057,2,90.0,99.83,7,4,40.03,Normal,synthetic,1.0
43.54,0.502,5,61.85,261.06,11,4,36.74,Addicted,synthetic,1.0
79.25,0.17,1,62.44,146.24,8,2,53.19,Addicted,synthetic,1.0
10.0,0.751,4,166.37,139.72,4,2,0.48,Frustrated,synthetic,1.0
63.3,0.449,2,65.66,257.58,1,0,86.57,Addicted,synthetic,1.0
32.79,0.412,7,40.72,169.77,12,4,-40.0,Frustrated,synthetic,1.0
35.8,0.387,5,170.31,158.64,14,2,-28.08,Normal,synthetic,1.0
10.41,0.753,9,111.26,56.65,8,3,16.07,Frustrated,synthetic,1.0
50.0,0.425,5,56.25,230.55,9,0,13.92,Addicted,synthetic,1.0
77.48,0.039,2,86.23,196.69,12,1,61.0,Addicted,synthetic,1.0
87.05,0.654,7,5.0,279.76,9,1,98.57,Addicted,synthetic,1.0
32.55,0.321,1,93.93,228.65,4,3,24.4,Normal,synthetic,1.0
39.18,0.45,7,50.59,126.98,8,2,-3.97,Frustrated,synthetic,1.0
64.41,0.179,3,78.37,299.31,13,4,42.88,Addicted,synthetic,1.0
38.54,0.083,1,47.53,251.17,6,0,42.69,Addicted,synthetic,1.0
37.23,0.324,3,6.61,70.33,4,4,43.22,Addicted,synthetic,1.0
41.01,0.287,3,90.63,230.01,7,2,16.29,Addicted,synthetic,1.0
32.17,0.05,0,76.81,124.9,1,2,15.94,Normal,synthetic,1.0
36.09,0.764,10,212.93,148.78,14,1,-5.05,Normal,synthetic,1.0
62.12,0.181,2,138.1,287.14,5,4,37.04,Addicted,synthetic,1.0
68.63,0.201,2,5.0,233.06,2,0,10.26,Addicted,synthetic,1.0
58.43,0.215,3,5.0,264.73,11,3,17.22,Addicted,synthetic,1.0
33.33,0.374,4,100.57,215.55,13,3,20.87,Addicted,synthetic,1.0
26.5,0.7,9,142.02,305.66,12,2,22.15,Addicted,synthetic,1.0
58.31,0.408,6,92.37,50.71,13,2,-6.27,Normal,synthetic,1.0
37.93,0.675,8,49.37,70.75,8,4,15.09,Frustrated,synthetic,1.0
32.5,0.337,2,159.9,151.83,1,0,4.65,Normal,synthetic,1.0
90.38,0.16,0,69.58,177.16,3,2,33.54,Addicted,synthetic,1.0
79.86,0.167,1,15.44,144.73,2,0,3.03,Addicted,synthetic,1.0
10.0,0.387,1,94.6,76.78,5,1,-34.17,Normal,synthetic,1.0
40.15,0.85,13,57.39,213.73,13,3,-0.86,Normal,synthetic,1.0
52.76,0.266,5,166.3,140.97,10,4,12.1,Frustrated,synthetic,1.0
63.04,0.264,3,101.62,168.33,6,2,12.89,Frustrated,synthetic,1.0
68.47,0.538,2,91.32,147.54,3,1,-17.55,Normal,synthetic,1.0
78.14,0.4,3,10.52,282.43,8,4,12.33,Addicted,synthetic,1.0
18.8,0.191,2,192.03,151.42,4,2,4.0,Normal,synthetic,1.0
71.7,0.859,4,65.09,212.27,4,3,70.26,Frustrated,synthetic,1.0
54.46,0.058,1,95.04,308.93,9,1,47.17,Addicted,synthetic,1.0
52.36,0.283,4,95.54,222.58,8,2,-10.28,Frustrated,synthetic,1.0
10.0,0.606,3,86.58,95.59,1,2,15.43,Frustrated,synthetic,1.0
13.52,0.511,7,208.97,170.47,13,3,-13.53,Normal,synthetic,1.0
83.45,0.445,2,56.55,160.95,5,1,-20.0,Addicted,synthetic,1.0
25.28,0.218,4,93.43,403.77,13,0,-18.12,Addicted,synthetic,1.0
12.02,0.293,0,96.4,39.53,2,2,22.95,Normal,synthetic,1.0
53.29,0.219,2,201.85,184.17,10,0,-32.49,Normal,synthetic,1.0
16.08,0.604,8,158.39,30.0,10,2,-35.0,Normal,synthetic,1.0
24.3,0.371,3,5.0,96.75,7,1,38.73,Frustrated,synthetic,1.0
86.53,0.494,8,164.81,115.81,10,1,50.8,Frustrated,synthetic,1.0
61.97,0.259,5,124.4,122.68,6,1,-20.36,Frustrated,synthetic,1.0
35.55,0.562,10,80.77,175.23,12,2,48.94,Frustrated,synthetic,1.0
10.0,0.674,10,238.79,154.41,14,1,-25.24,Normal,synthetic,1.0
10.0,0.688,9,24.25,79.1,12,1,-2.39,Frustrated,synthetic,1.0
40.61,0.517,5,159.6,102.83,6,2,-36.71,Frustrated,synthetic,1.0
104.78,0.117,0,57.43,256.57,8,4,45.16,Addicted,synthetic,1.0
84.43,0.01,2,66.54,193.32,11,1,-20.0,Addicted,synthetic,1.0
43.77,0.589,2,67.17,340.04,3,0,67.02,Addicted,synthetic,1.0
14.56,0.448,0,214.73,111.26,1,4,37.3,Normal,synthetic,1.0
54.39,0.482,6,5.07,247.18,12,0,70.09,Addicted,synthetic,1.0
36.51,0.61,3,111.66,233.57,4,2,38.69,Frustrated,synthetic,1.0
60.22,0.585,2,5.0,80.74,1,2,-40.0,Frustrated,synthetic,1.0
27.52,0.407,7,93.44,335.24,13,0,-2.78,Addicted,synthetic,1.0
10.0,0.164,2,47.37,193.71,1,4,11.58,Normal,synthetic,1.0
11.38,0.516,3,160.67,195.86,4,3,-34.75,Normal,synthetic,1.0
10.0,0.281,2,236.76,134.91,9,1,-17.58,Normal,synthetic,1.0
21.72,0.8,9,41.13,81.26,8,0,35.95,Frustrated,synthetic,1.0
15.0,0.298,4,172.2,427.69,14,4,70.47,Addicted,synthetic,1.0
10.0,0.493,5,93.95,95.5,5,0,-14.76,Frustrated,synthetic,1.0
48.9,0.595,5,42.87,255.21,10,0,19.08,Addicted,synthetic,1.0
10.0,0.226,2,162.47,152.14,3,3,-1.95,Normal,synthetic,1.0
20.55,0.635,3,103.45,82.27,3,1,-17.15,Frustrated,synthetic,1.0
53.37,0.712,5,106.1,223.42,2,0,-23.21,Frustrated,synthetic,1.0
19.51,0.263,3,131.89,206.38,14,2,63.57,Normal,synthetic,1.0
47.94,0.408,5,6.11,337.01,14,0,52.11,Addicted,synthetic,1.0
42.3,0.476,8,157.89,30.0,11,3,11.21,Frustrated,synthetic,1.0
10.0,0.381,6,39.57,128.87,9,0,-23.21,Frustrated,synthetic,1.0
10.0,0.472,7,110.88,132.13,9,4,-22.92,Frustrated,synthetic,1.0
42.85,0.458,4,149.38,70.81,6,1,11.42,Frustrated,synthetic,1.0
36.9,0.314,4,91.59,106.67,12,0,-6.0,Normal,synthetic,1.0
35.95,0.47,3,74.85,182.37,3,4,34.52,Frustrated,synthetic,1.0
34.5,0.708,11,72.49,30.0,13,2,28.27,Normal,synthetic,1.0
59.62,0.216,1,58.0,250.76,2,4,60.28,Addicted,synthetic,1.0
86.56,0.485,5,97.31,162.59,7,2,23.64,Addicted,synthetic,1.0
10.0,0.453,4,23.0,141.59,6,3,-28.24,Normal,synthetic,1.0
52.86,0.449,1,115.68,311.65,4,4,82.69,Addicted,synthetic,1.0
35.02,0.463,7,209.28,84.56,13,3,29.2,Normal,synthetic,1.0
31.25,0.646,8,155.86,180.35,9,2,37.49,Frustrated,synthetic,1.0
26.08,0.391,3,118.95,289.67,8,0,47.81,Addicted,synthetic,1.0
28.06,0.663,10,104.3,72.53,12,1,18.21,Frustrated,synthetic,1.0
58.08,0.546,0,69.63,92.4,1,1,15.48,Normal,synthetic,1.0
26.21,0.783,4,181.93,30.0,4,2,35.49,Frustrated,synthetic,1.0
25.73,0.569,10,88.29,161.35,12,4,-28.61,Frustrated,synthetic,1.0
47.04,0.289,4,106.84,133.74,11,2,-7.07,Normal,synthetic,1.0
22.23,0.275,7,84.65,125.37,12,1,4.86,Frustrated,synthetic,1.0
15.51,0.688,10,22.9,156.02,14,0,48.93,Normal,synthetic,1.0
22.75,0.76,7,87.48,143.85,8,3,13.12,Normal,synthetic,1.0
40.0,0.393,1,57.19,144.99,3,3,30.54,Addicted,synthetic,1.0
27.66,0.451,5,16.76,92.36,12,3,83.11,Addicted,synthetic,1.0
78.34,0.36,2,83.86,374.18,7,3,29.93,Addicted,synthetic,1.0
67.18,0.102,2,66.16,210.54,8,2,62.27,Addicted,synthetic,1.0
28.9,0.669,3,5.0,164.57,1,1,7.95,Frustrated,synthetic,1.0
83.71,0.138,0,102.57,208.85,4,4,12.23,Normal,synthetic,1.0
41.03,0.374,5,48.44,92.45,13,1,23.32,Frustrated,synthetic,1.0
59.46,0.467,6,200.05,84.24,9,1,0.08,Frustrated,synthetic,1.0
23.72,0.222,2,5.0,151.91,7,4,47.63,Addicted,synthetic,1.0
79.29,0.61,3,79.18,260.87,5,2,31.51,Addicted,synthetic,1.0
109.03,0.325,5,5.0,235.0,12,1,-19.62,Addicted,synthetic,1.0
130.0,0.057,2,68.53,330.77,2,2,88.51,Addicted,synthetic,1.0
65.85,0.281,4,46.72,122.59,13,2,23.32,Addicted,synthetic,1.0
90.32,0.218,2,5.0,261.63,3,3,41.89,Addicted,synthetic,1.0
81.32,0.273,2,124.78,145.22,2,4,13.58,Frustrated,synthetic,1.0
10.0,0.515,0,223.44,104.94,1,1,18.59,Normal,synthetic,1.0
72.79,0.275,1,108.27,161.49,5,1,15.74,Normal,synthetic,1.0
33.95,0.159,3,29.02,221.7,12,2,47.47,Addicted,synthetic,1.0
31.34,0.432,8,46.9,139.95,14,3,51.98,Addicted,synthetic,1.0
85.97,0.442,1,36.51,315.22,3,1,58.57,Addicted,synthetic,1.0
40.18,0.315,3,215.96,69.76,3,4,44.62,Frustrated,synthetic,1.0
83.11,0.232,3,130.93,375.31,9,1,-14.65,Addicted,synthetic,1.0
20.54,0.618,10,191.34,141.84,14,1,7.02,Normal,synthetic,1.0
53.75,0.71,12,93.93,128.47,14,1,44.76,Frustrated,synthetic,1.0
36.31,0.217,3,145.68,175.76,8,1,33.0,Normal,synthetic,1.0
70.15,0.267,1,17.6,60.0,6,4,130.0,Addicted,synthetic,1.0
45.72,0.753,8,178.91,118.67,8,0,-14.88,Normal,synthetic,1.0
38.02,0.289,1,37.18,228.73,2,2,52.2,Addicted,synthetic,1.0
22.46,0.701,7,105.83,97.44,7,1,-33.39,Frustrated,synthetic,1.0
30.47,0.85,8,215.5,157.01,8,1,-33.29,Normal,synthetic,1.0
38.96,0.423,6,72.47,141.54,13,4,-30.79,Frustrated,synthetic,1.0
64.97,0.187,3,48.74,130.15,9,3,-20.0,Addicted,synthetic,1.0
41.94,0.051,1,76.28,108.9,13,1,30.38,Normal,synthetic,1.0
12.95,0.144,2,152.43,137.59,1,0,12.13,Normal,synthetic,1.0
42.61,0.422,4,56.69,282.26,11,4,2.05,Addicted,synthetic,1.0
56.86,0.033,0,9.39,338.48,10,3,41.95,Addicted,synthetic,1.0
19.53,0.045,0,78.03,195.97,3,4,53.95,Addicted,synthetic,1.0
108.31,0.535,4,102.48,317.55,6,4,31.4,Addicted,synthetic,1.0
72.92,0.249,2,20.87,225.19,1,3,12.03,Addicted,synthetic,1.0
15.71,0.635,5,138.31,153.29,4,1,68.89,Frustrated,synthetic,1.0
33.78,0.296,2,179.93,207.75,4,2,39.42,Normal,synthetic,1.0
69.45,0.5,5,50.0,350.54,10,0,18.8,Addicted,synthetic,1.0
71.37,0.19,2,96.39,107.18,11,2,30.62,Addicted,synthetic,1.0
32.86,0.429,5,294.24,35.32,7,3,5.01,Normal,synthetic,1.0
37.94,0.197,1,58.48,206.28,1,2,32.23,Addicted,synthetic,1.0
10.44,0.709,11,16.2,193.98,12,1,-40.0,Frustrated,synthetic,1.0
58.85,0.402,2,5.0,130.88,4,4,111.5,Addicted,synthetic,1.0
71.92,0.13,1,22.98,325.72,10,2,51.47,Addicted,synthetic,1.0
48.18,0.415,3,152.37,145.5,6,0,4.28,Normal,synthetic,1.0
33.24,0.394,0,252.39,172.57,1,2,54.44,Normal,synthetic,1.0
36.36,0.417,7,90.5,121.46,13,2,61.29,Addicted,synthetic,1.0
16.95,0.534,2,26.02,218.02,3,1,5.38,Frustrated,synthetic,1.0
67.15,0.719,6,129.42,244.0,4,2,-40.0,Frustrated,synthetic,1.0
70.9,0.56,6,162.82,41.42,10,2,-8.19,Normal,synthetic,1.0
69.06,0.494,3,37.21,167.86,5,0,-20.0,Addicted,synthetic,1.0
72.6,0.235,0,99.3,334.08,3,2,22.39,Addicted,synthetic,1.0
42.99,0.648,7,74.33,127.49,11,3,26.68,Normal,synthetic,1.0
73.93,0.501,7,177.45,130.46,13,0,-0.98,Normal,synthetic,1.0
29.53,0.692,6,71.99,156.47,7,4,1.76,Frustrated,synthetic,1.0
45.04,0.777,1,181.14,30.0,1,3,46.02,Normal,synthetic,1.0
77.88,0.192,3,93.24,256.96,7,3,8.07,Addicted,synthetic,1.0
37.82,0.688,4,223.52,85.85,5,1,14.8,Normal,synthetic,1.0
10.0,0.648,2,85.79,126.78,4,1,-13.44,Normal,synthetic,1.0
77.3,0.392,7,5.0,340.2,14,1,3.89,Addicted,synthetic,1.0
25.48,0.391,7,142.52,218.84,14,3,9.58,Frustrated,synthetic,1.0
58.2,0.308,1,157.44,105.33,1,1,-7.44,Normal,synthetic,1.0
26.62,0.534,6,55.28,298.26,9,0,1.84,Addicted,synthetic,1.0
43.44,0.752,1,117.87,142.41,1,4,9.54,Normal,synthetic,1.0
33.54,0.444,2,62.18,258.04,5,0,-20.0,Addicted,synthetic,1.0
27.21,0.68,4,27.52,188.32,3,4,33.44,Frustrated,synthetic,1.0
31.32,0.617,8,197.08,109.93,11,3,-7.79,Frustrated,synthetic,1.0
34.89,0.395,2,67.93,120.25,2,1,39.18,Normal,synthetic,1.0
10.62,0.483,5,73.95,79.06,5,1,-20.2,Frustrated,synthetic,1.0
62.83,0.695,10,143.92,72.51,11,0,-12.78,Frustrated,synthetic,1.0
47.88,0.181,1,5.0,267.76,5,3,52.01,Addicted,synthetic,1.0
54.96,0.225,4,221.48,176.31,14,3,2.92,Normal,synthetic,1.0
50.08,0.465,7,5.0,240.25,13,4,30.7,Addicted,synthetic,1.0
33.39,0.692,7,34.23,281.74,11,2,-20.0,Addicted,synthetic,1.0
45.04,0.291,2,62.29,233.87,5,3,6.17,Addicted,synthetic,1.0
35.45,0.1,1,214.37,86.46,14,0,33.41,Normal,synthetic,1.0
41.12,0.569,9,104.12,83.64,14,1,-9.4,Normal,synthetic,1.0
42.46,0.304,1,124.46,301.01,3,0,60.43,Addicted,synthetic,1.0
12.15,0.295,2,189.1,130.33,4,3,22.21,Normal,synthetic,1.0
18.08,0.556,4,48.66,260.54,1,4,-14.13,Frustrated,synthetic,1.0
20.49,0.588,7,121.86,122.14,9,2,47.98,Normal,synthetic,1.0
46.09,0.529,6,146.08,87.15,13,0,-8.17,Normal,synthetic,1.0
56.88,0.058,2,71.8,289.96,7,2,35.53,Addicted,synthetic,1.0
77.08,0.383,2,152.02,30.0,1,4,-4.03,Normal,synthetic,1.0
36.97,0.208,2,215.71,147.53,10,3,-11.39,Normal,synthetic,1.0
48.92,0.553,0,95.43,178.58,1,0,54.69,Normal,synthetic,1.0
58.81,0.081,1,111.16,244.28,12,0,28.68,Addicted,synthetic,1.0
48.19,0.56,4,79.14,58.52,6,4,-34.39,Frustrated,synthetic,1.0
59.73,0.16,0,108.34,155.86,3,4,37.33,Addicted,synthetic,1.0
39.72,0.52,6,5.0,194.66,10,2,36.59,Addicted,synthetic,1.0
53.06,0.556,9,155.0,30.0,13,3,-35.0,Normal,synthetic,1.0
